,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
5,0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
18,0440234743,The Testament,John Grisham,1999,Dell
19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
26,0971880107,Wild Animus,Rich Shapero,2004,Too Far
27,0345402871,Airframe,Michael Crichton,1997,Ballantine Books
28,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
37,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
39,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
41,055321215X,Pride and Prejudice,Jane Austen,1983,Bantam
44,0553582909,Icebound,Dean R. Koontz,2000,Bantam Books
45,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
46,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
47,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
48,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
52,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
60,0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
66,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
67,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
73,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
74,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
76,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
77,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
90,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
95,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
96,0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press
97,0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press
102,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
107,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
113,0446608653,The Alibi,Sandra Brown,2000,Warner Books
114,0446612545,The Beach House,James Patterson,2003,Warner Books
117,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
123,0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
126,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
