,ISBN,Book-Title,total_ratings,sum_weighted_ratings,weighted_avg_rating
162408,1844262553,Free,54,430,7.962962962962963
180264,8445071416,El Hobbit,23,172,7.478260869565218
3184,0060248025,Falling Up,38,263,6.921052631578948
52930,0395177111,The Hobbit (Leatherette Collector's Edition),24,163,6.791666666666667
85594,0553274325,Johnny Got His Gun,32,216,6.75
58883,0439064864,Harry Potter and the Chamber of Secrets (Book 2),170,1124,6.6117647058823525
59063,0439139597,Harry Potter and the Goblet of Fire (Book 4),194,1269,6.541237113402062
155498,1563890119,"Preludes and Nocturnes (Sandman, Book 1)",27,175,6.481481481481482
59058,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),197,1274,6.467005076142132
146781,0920668372,Love You Forever,36,232,6.444444444444445
91307,0590353403,Harry Potter and the Sorcerer's Stone (Book 1),168,1069,6.363095238095238
30357,0345458915,The Sinner,27,171,6.333333333333333
95043,0618002235,"The Two Towers (The Lord of the Rings, Part 2)",39,243,6.230769230769231
7241,0064471063,The Horse and His Boy,37,230,6.216216216216216
95042,0618002227,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",63,391,6.2063492063492065
48593,0385199570,The Stand (The Complete and Uncut Edition),57,352,6.175438596491228
42848,0374332657,Holes (Newbery Medal Book),24,148,6.166666666666667
5670,0061057649,Feet of Clay (Discworld Novels (Paperback)),27,166,6.148148148148148
176446,3551551677,Harry Potter und der Stein der Weisen,21,129,6.142857142857143
176858,3596215226,Schachnovelle,23,141,6.130434782608695
133895,0836218981,The Indispensable Calvin And Hobbes,26,159,6.115384615384615
121111,0786808551,"The Arctic Incident (Artemis Fowl, Book 2)",34,207,6.088235294117647
133898,0836220498,Night Of Crash-Test Dummies,25,150,6.0
84710,0553251481,Jitterbug Perfume,25,150,6.0
15060,0156012197,The Little Prince,36,216,6.0
168362,2070408507,Le Petit Prince,21,126,6.0
44595,0380014300,Nine Princes In Amber,23,137,5.956521739130435
30312,0345453743,The Ultimate Hitchhiker's Guide to the Galaxy,24,142,5.916666666666667
7243,006447108X,The Last Battle,27,159,5.888888888888889
173439,3442442354,Der Strand,24,141,5.875
7405,0066238501,Complete Chronicles of Narnia,29,170,5.862068965517241
105841,0679879269,"The Amber Spyglass (His Dark Materials, Book 3)",30,175,5.833333333333333
175941,3518366823,Siddhartha,21,122,5.809523809523809
15226,0156528207,The Little Prince,79,458,5.7974683544303796
133865,0836218051,The Essential Calvin and Hobbes,31,179,5.774193548387097
80107,0517693119,More Than Complete Hitchhiker's Guide,26,150,5.769230769230769
3607,0060519134,Savannah Blues,23,132,5.739130434782608
61968,0440237688,The Giver (Readers Circle),42,241,5.738095238095238
52134,039480001X,The Cat in the Hat,52,298,5.730769230769231
5333,0061031321,Thief of Time,22,126,5.7272727272727275
147078,0930289595,"The Doll's House (Sandman, Book 2)",24,137,5.708333333333333
182022,8845205118,Il Piccolo Principe Prince Italn,32,182,5.6875
3217,0060256737,A Light in the Attic,35,199,5.685714285714286
59592,0439425220,Harry Potter and the Chamber of Secrets Postcard Book,40,227,5.675
52140,0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),30,170,5.666666666666667
16761,020530902X,"The Elements of Style, Fourth Edition",21,119,5.666666666666667
95169,0618129030,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",24,136,5.666666666666667
52148,039480029X,Hop on Pop (I Can Read It All by Myself Beginner Books),30,169,5.633333333333334
63097,0440900794,The Giver,23,129,5.608695652173913
133872,0836218310,Far Side Gallery 3 Paperback,23,129,5.608695652173913
78951,0515134481,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),24,134,5.583333333333333
59496,043935806X,Harry Potter and the Order of the Phoenix (Book 5),334,1861,5.57185628742515
3214,0060256656,The Giving Tree,35,195,5.571428571428571
48499,0385182449,Pet Sematary,21,117,5.571428571428571
87820,0553561669,Ishmael,22,122,5.545454545454546
79366,0517149257,The Ultimate Hitchhiker's Guide,36,199,5.527777777777778
9266,0140043519,Junky,21,116,5.523809523809524
71970,0451167716,The Godfather,54,298,5.518518518518518
108842,0689818769,Frindle,27,149,5.518518518518518
95168,0618129022,The Lord of the Rings (Movie Art Cover),62,342,5.516129032258065
181903,8817106100,Oceano Mare,28,154,5.5
95044,0618002243,"The Return of the King (The Lord of The Rings, Part 3)",28,154,5.5
169498,2253150711,Stupeur Et Tremblements,32,176,5.5
96397,0670894605,The Secret Life of Bees,96,528,5.5
60375,0440158532,Mother Night,22,121,5.5
133870,0836218221,The Authoritative Calvin and Hobbes (Calvin and Hobbes),35,192,5.485714285714286
133913,0836220889,Calvin and Hobbes,42,230,5.476190476190476
74231,0451456718,Daughter of the Blood (Black Jewels Trilogy),34,186,5.470588235294118
133784,0836204387,The Calvin and Hobbes Tenth Anniversary Book,39,213,5.461538461538462
106677,068482499X,A Moveable Feast,24,131,5.458333333333333
26760,0345272579,The Hobbit,22,120,5.454545454545454
58011,0425181685,Narcissus in Chains (Anita Blake Vampire Hunter (Hardcover)),29,158,5.448275862068965
24077,0316107387,Night of the Mary Kay Commandos Featuring Smell O-Toons,23,125,5.434782608695652
52143,0394800184,Are You My Mother?,21,114,5.428571428571429
24228,0316154059,City of Bones,49,266,5.428571428571429
117432,0763618292,Witch Child,22,119,5.409090909090909
86010,0553283685,Hyperion,44,238,5.409090909090909
83753,0553213695,The Metamorphosis (Bantam Classics),44,238,5.409090909090909
6761,0064404994,"The Lion, the Witch and the Wardrobe (rpkg) (Narnia)",25,135,5.4
133873,0836218353,Yukon Ho!,33,178,5.393939393939394
167885,2070360024,"L'Etranger (Collection Folio, 2)",41,221,5.390243902439025
63504,0441004520,Killing Dance (Anita Blake Vampire Hunter (Paperback)),44,237,5.386363636363637
101580,0671722859,ROMEO AND JULIET,30,161,5.366666666666666
47551,0380818191,"Truth, The",28,150,5.357142857142857
127557,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),23,123,5.3478260869565215
59059,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),226,1208,5.345132743362832
127911,0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),195,1034,5.302564102564102
98622,0671477099,HITCHHIK GD GALAXY (Hitchhiker's Trilogy (Paperback)),21,111,5.285714285714286
86371,0553293362,Second Foundation (Foundation Novels (Paperback)),21,111,5.285714285714286
147074,0930289234,Watchmen,22,116,5.2727272727272725
78948,0515134457,Blue Moon,22,116,5.2727272727272725
144399,0894808249,All I Need to Know I Learned from My Cat,63,330,5.238095238095238
180880,8477204055,El caballero de la armadura oxidada,21,110,5.238095238095238
101564,067172262X,Hamlet,40,209,5.225
171335,3257218370,Gottes Werk Und Teufels Beitrag,23,120,5.217391304347826
93418,0590484753,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),23,120,5.217391304347826
27828,0345322215,Wielding a Red Sword (Incarnations of Immortality (Paperback)),24,125,5.208333333333333
88835,0553582917,Intensity,24,125,5.208333333333333
172211,3423105518,Name Der Rose,25,130,5.2
97183,0671027344,The Perks of Being a Wallflower,103,535,5.194174757281553
104793,0679725768,The Mezzanine (Vintage Contemporaries (Paperback)),21,109,5.190476190476191
24570,0316710571,Sam's Letters to Jennifer,32,166,5.1875
172449,3423202947,Hunde von Riga.,32,166,5.1875
77362,0505523752,Dark Gold,22,114,5.181818181818182
86707,0553348981,Jitterbug Perfume,52,269,5.173076923076923
181786,8806143042,Almost blue (Stile libero),29,150,5.172413793103448
29980,0345435273,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),30,155,5.166666666666667
77385,0505524090,Dark Challenge,26,134,5.153846153846154
86897,0553380958,Snow Crash (Bantam Spectra Book),33,170,5.151515151515151
105839,0679879242,"The Golden Compass (His Dark Materials, Book 1)",46,236,5.130434782608695
105465,0679805273,"Oh, the Places You'll Go!",25,128,5.12
181675,8804342838,Due di due (Bestsellers),27,138,5.111111111111111
59064,0439139600,Harry Potter and the Goblet of Fire (Book 4),193,985,5.103626943005182
86865,055337933X,Fierce Invalids Home from Hot Climates,39,199,5.102564102564102
133916,0836220986,The Far Side Observer,31,158,5.096774193548387
97606,0671204971,TIME AND AGAIN,21,107,5.095238095238095
174274,3453146972,Per Anhalter durch die Galaxis.,21,107,5.095238095238095
53841,0395977894,Fast Food Nation,44,224,5.090909090909091
6716,0064403319,Harriet the Spy,23,117,5.086956521739131
86791,0553373803,The Fifth Sacred Thing,27,137,5.074074074074074
67399,0446672351,Reservation Blues,28,142,5.071428571428571
95577,0670032379,The Secret Life of Bees,57,289,5.0701754385964914
66696,0446532452,The Wedding,57,289,5.0701754385964914
63440,0441002935,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),47,238,5.0638297872340425
61514,0440222028,Simisola,38,192,5.052631578947368
10785,014018869X,Cold Comfort Farm,21,106,5.0476190476190474
136321,0849911796,The Visitation,26,131,5.038461538461538
86869,0553379615,Into the Forest,30,151,5.033333333333333
105907,0679886370,Stargirl,36,181,5.027777777777778
50519,0393312836,A Clockwork Orange (Norton Paperback Fiction),52,261,5.019230769230769
102074,0671746065,The Hitchhiker's Guide to the Galaxy,21,105,5.0
72570,0451191137,Anthem,39,195,5.0
123028,0802135226,The Passion,30,150,5.0
10316,0140143505,84 Charing Cross Road,53,265,5.0
49336,038533348X,Cat's Cradle,44,219,4.9772727272727275
97420,0671039741,Salem's Lot,43,214,4.976744186046512
176910,3596259924,Die Unertragliche Leichtigkeit des Seins...The Unbearable Lightness of Being,35,174,4.9714285714285715
112628,0740704818,The Blue Day Book,54,268,4.962962962962963
127119,0812515285,A Fire Upon The Deep (Zones of Thought),27,134,4.962962962962963
52145,0394800206,"Go, Dog, Go (I Can Read It All by Myself Beginner Books)",24,119,4.958333333333333
78947,0515134449,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),23,114,4.956521739130435
67318,0446613444,The Black Ice,21,104,4.9523809523809526
133879,0836218515,Prehistory of the Far Side,40,198,4.95
2951,0060194448,The Wailing Wind,33,163,4.9393939393939394
105840,0679879250,"The Subtle Knife (His Dark Materials, Book 2)",26,128,4.923076923076923
65340,0446310786,To Kill a Mockingbird,389,1914,4.920308483290489
43101,0374525641,The Spirit Catches You and You Fall Down,49,241,4.918367346938775
13651,0141301066,Matilda,24,118,4.916666666666667
61386,0440219078,The Giver (21st Century Reference),178,875,4.915730337078652
88659,0553579908,"A Clash of Kings (A Song of Fire and Ice, Book 2)",33,162,4.909090909090909
115530,0749918241,Clear Your Clutter and Feng Shui Your Life,21,103,4.904761904761905
13269,014062063X,Dracula (Penguin Popular Classics),21,103,4.904761904761905
133779,0836204158,It'S Obvious You Won'T Survive By Your Wits Alone,21,103,4.904761904761905
59990,0440111498,Cat's Cradle,42,206,4.904761904761905
49877,038548951X,Sister of My Heart,63,309,4.904761904761905
11525,0140295569,High Fidelity,21,103,4.904761904761905
91308,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),571,2798,4.900175131348512
105341,0679775439,The Wind-Up Bird Chronicle,44,215,4.886363636363637
52141,0394800168,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),41,200,4.878048780487805
85331,0553268449,JITTERBUG PERFUME,48,234,4.875
53776,039592720X,Interpreter of Maladies,127,619,4.874015748031496
101449,0671720147,The Vor Game,23,112,4.869565217391305
24728,0316899992,"River, Cross My Heart",23,112,4.869565217391305
49189,0385318782,Talk Before Sleep,38,185,4.868421052631579
9632,0140075623,Stones for Ibarra (Penguin Contemporary American Fiction Series),30,146,4.866666666666666
150180,0971181802,E-Wally and the Quest,30,146,4.866666666666666
13901,014200023X,A Heart of Stone,22,107,4.863636363636363
9252,0140042520,Dharma Bums,43,209,4.8604651162790695
175952,3518368540,Homo Faber,28,136,4.857142857142857
7244,0064471098,The Silver Chair,27,131,4.851851851851852
6623,0064400042,On the Banks of Plum Creek,45,218,4.844444444444444
125440,0807083054,Kindred (Black Women Writers Series),44,213,4.840909090909091
43834,0375724443,Ava's Man,25,121,4.84
162951,1853261580,The Little Prince (Wordsworth Collection),37,179,4.837837837837838
169360,2253063339,Les Fourmis,35,169,4.828571428571428
113655,0743455967,On Writing,46,222,4.826086956521739
