,Book-Title,total_ratings,sum_weighted_ratings,weighted_avg_rating
22896,Chobits (Chobits),28,225,8.035714285714286
45995,Free,56,449,8.017857142857142
38266,El Hobbit,26,200,7.6923076923076925
125468,The Hobbit (Leatherette Collector's Edition),24,163,6.791666666666667
72922,Love You Forever,48,326,6.791666666666667
41866,Falling Up,39,263,6.743589743589744
62937,Johnny Got His Gun,34,224,6.588235294117647
93445,"Preludes and Nocturnes (Sandman, Book 1)",29,184,6.344827586206897
68229,Le Petit Prince,24,149,6.208333333333333
136820,The Stand (The Complete and Uncut Edition),57,352,6.175438596491228
55050,Holes (Newbery Medal Book),24,148,6.166666666666667
42797,Feet of Clay (Discworld Novels (Paperback)),27,166,6.148148148148148
52370,Harry Potter und der Stein der Weisen,21,129,6.142857142857143
101371,Schachnovelle,23,141,6.130434782608695
126175,The Indispensable Calvin And Hobbes,26,159,6.115384615384615
125606,The Horse and His Boy,38,230,6.052631578947368
61299,Ishmael,30,181,6.033333333333333
84419,Night Of Crash-Test Dummies,25,150,6.0
45726,Fox in Socks (I Can Read It All by Myself Beginner Books),24,144,6.0
84774,Nine Princes In Amber,23,137,5.956521739130435
138854,The Ultimate Hitchhiker's Guide to the Galaxy,24,142,5.916666666666667
32052,Der Strand,24,141,5.875
25132,Complete Chronicles of Narnia,29,170,5.862068965517241
52353,Harry Potter and the Prisoner of Azkaban (Book 3),428,2505,5.852803738317757
123943,The Giving Tree,42,245,5.833333333333333
52341,Harry Potter and the Goblet of Fire (Book 4),387,2254,5.8242894056847545
128175,The Little Prince,141,820,5.815602836879433
36034,Dragonflight,24,139,5.791666666666667
122098,The Essential Calvin and Hobbes,31,179,5.774193548387097
80178,More Than Complete Hitchhiker's Guide,26,150,5.769230769230769
118181,The Cat in the Hat,53,305,5.754716981132075
123942,The Giver (Readers Circle),42,241,5.738095238095238
52360,Harry Potter and the Sorcerer's Stone (Book 1),278,1595,5.737410071942446
3072,A Light in the Attic,38,217,5.7105263157894735
128440,The Lord of the Rings,38,217,5.7105263157894735
96309,Reaper Man,24,137,5.708333333333333
125466,The Hobbit,80,456,5.7
58775,Il Piccolo Principe Prince Italn,32,182,5.6875
127318,The Last Battle,28,159,5.678571428571429
52338,Harry Potter and the Chamber of Secrets Postcard Book,40,227,5.675
87484,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),30,170,5.666666666666667
86348,"Ocho, El",22,124,5.636363636363637
55599,Hop on Pop (I Can Read It All by Myself Beginner Books),30,169,5.633333333333334
42248,Far Side Gallery 3 Paperback,23,129,5.608695652173913
58115,I'm the One That I Want,29,162,5.586206896551724
110294,Stupeur Et Tremblements,33,184,5.575757575757576
121757,"The Elements of Style, Fourth Edition",23,128,5.565217391304348
46357,Frindle,30,166,5.533333333333333
136198,The Sinner,36,199,5.527777777777778
138853,The Ultimate Hitchhiker's Guide,36,199,5.527777777777778
63541,Junky,21,116,5.523809523809524
101051,Savannah Blues,39,215,5.512820512820513
52345,Harry Potter and the Order of the Phoenix (Book 5),347,1909,5.501440922190202
134171,"The Return of the King (The Lord of The Rings, Part 3)",28,154,5.5
86338,Oceano Mare,28,154,5.5
115277,The Authoritative Calvin and Hobbes (Calvin and Hobbes),35,192,5.485714285714286
86673,"Oh, the Places You'll Go!",27,148,5.481481481481482
121175,"The Doll's House (Sandman, Book 2)",25,137,5.48
151063,Watchmen,23,126,5.478260869565218
7408,Alice's Tulips,23,126,5.478260869565218
20193,Calvin and Hobbes,42,230,5.476190476190476
29830,Daughter of the Blood (Black Jewels Trilogy),34,186,5.470588235294118
117739,The Calvin and Hobbes Tenth Anniversary Book,39,213,5.461538461538462
83227,Narcissus in Chains (Anita Blake Vampire Hunter (Hardcover)),29,158,5.448275862068965
84587,Night of the Mary Kay Commandos Featuring Smell O-Toons,23,125,5.434782608695652
10681,Are You My Mother?,21,114,5.428571428571429
39622,Ender's Game (Ender Wiggins Saga (Paperback)),249,1347,5.409638554216867
129661,The Metamorphosis (Bantam Classics),44,238,5.409090909090909
65652,"L'Etranger (Collection Folio, 2)",41,221,5.390243902439025
64670,Killing Dance (Anita Blake Vampire Hunter (Paperback)),44,237,5.386363636363637
157347,Yukon Ho!,34,183,5.382352941176471
95384,ROMEO AND JULIET,30,161,5.366666666666666
146542,"Truth, The",28,150,5.357142857142857
128010,"The Lion, the Witch and the Wardrobe (rpkg) (Narnia)",26,139,5.346153846153846
65520,Kushiel's Chosen (Kushiel's Legacy),33,175,5.303030303030303
128443,The Lord of the Rings (Movie Art Cover),70,370,5.285714285714286
51355,HITCHHIK GD GALAXY (Hitchhiker's Trilogy (Paperback)),21,111,5.285714285714286
123939,The Giver,39,205,5.256410256410256
122666,The Fellowship of the Ring,29,152,5.241379310344827
3489,A Moveable Feast,25,131,5.24
7600,All I Need to Know I Learned from My Cat,63,330,5.238095238095238
16885,Bloomability,21,110,5.238095238095238
38626,El caballero de la armadura oxidada,21,110,5.238095238095238
80531,Mother Night,30,157,5.233333333333333
49851,Gottes Werk Und Teufels Beitrag,23,120,5.217391304347826
112502,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),23,120,5.217391304347826
154046,Wielding a Red Sword (Incarnations of Immortality (Paperback)),24,125,5.208333333333333
57443,Hyperion,49,255,5.204081632653061
83147,Name Der Rose,25,130,5.2
62795,Jitterbug Perfume,88,457,5.193181818181818
129686,The Mezzanine (Vintage Contemporaries (Paperback)),21,109,5.190476190476191
100467,Sam's Letters to Jennifer,32,166,5.1875
57231,Hunde von Riga.,32,166,5.1875
52334,Harry Potter and the Chamber of Secrets (Book 2),556,2882,5.183453237410072
29005,Dark Gold,22,114,5.181818181818182
35898,Dracula (Penguin Popular Classics),23,119,5.173913043478261
8061,Almost blue (Stile libero),29,150,5.172413793103448
1390,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),30,155,5.166666666666667
28955,Dark Challenge,26,134,5.153846153846154
151301,We the Living,40,206,5.15
132382,The Perks of Being a Wallflower,104,535,5.144230769230769
134243,The Richest Man in Babylon,26,133,5.115384615384615
36696,Due di due (Bestsellers),27,138,5.111111111111111
122565,The Far Side Observer,31,158,5.096774193548387
90788,Per Anhalter durch die Galaxis.,21,107,5.095238095238095
69580,Letters for Emily,32,163,5.09375
135389,The Secret Garden (Puffin Classics),22,112,5.090909090909091
42381,Fast Food Nation,44,224,5.090909090909091
118477,The Chimney Sweeper's Boy,23,117,5.086956521739131
22156,Charlie and the Chocolate Factory,71,360,5.070422535211268
124062,The Godfather,80,402,5.025
1638,A Clockwork Orange (Norton Paperback Fiction),52,261,5.019230769230769
117461,The Brothers K,24,120,5.0
9803,Animal Liberation,24,120,5.0
106284,Snow Crash (Bantam Spectra Book),34,170,5.0
33827,Die Unertragliche Leichtigkeit des Seins...The Unbearable Lightness of Being,35,174,4.9714285714285715
122744,The Fifth Sacred Thing,29,144,4.9655172413793105
116730,The Blue Day Book,54,268,4.962962962962963
2292,A Fire Upon The Deep (Zones of Thought),27,134,4.962962962962963
31951,Der Regenmacher.,25,124,4.96
48962,"Go, Dog, Go (I Can Read It All by Myself Beginner Books)",24,119,4.958333333333333
48921,Go Ask Alice,93,461,4.956989247311828
45582,Fountainhead,23,114,4.956521739130435
91801,Pippi Longstocking (Seafarer Book),22,109,4.954545454545454
93426,Prehistory of the Far Side,40,198,4.95
122669,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,1821,4.948369565217392
27282,Crossing Over,38,187,4.921052631578948
155115,Witch Child,38,187,4.921052631578948
136701,The Spirit Catches You and You Fall Down,49,241,4.918367346938775
143847,Timbuktu,24,118,4.916666666666667
123940,The Giver (21st Century Reference),179,880,4.916201117318436
106944,Something Under the Bed Is Drooling,33,162,4.909090909090909
57486,I Am Spock,22,108,4.909090909090909
1623,"A Clash of Kings (A Song of Fire and Ice, Book 2)",33,162,4.909090909090909
61514,It'S Obvious You Won'T Survive By Your Wits Alone,21,103,4.904761904761905
23901,Clear Your Clutter and Feng Shui Your Life,21,103,4.904761904761905
107470,"South of the Border, West of the Sun",21,103,4.904761904761905
60582,Interpreter of Maladies,136,666,4.897058823529412
97288,Reservation Blues,29,142,4.896551724137931
52364,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,2815,4.895652173913043
65519,Kushiel's Avatar (Kushiel's Legacy),27,132,4.888888888888889
32843,Dharma Bums,44,215,4.886363636363637
126908,The Killing Hour,26,127,4.884615384615385
138771,"The Two Towers (The Lord of the Rings, Part 2)",260,1269,4.880769230769231
50457,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),41,200,4.878048780487805
61804,JITTERBUG PERFUME,48,234,4.875
39969,Eric (Discworld Novels (Paperback)),23,112,4.869565217391305
139546,The Vor Game,23,112,4.869565217391305
36925,E-Wally and the Quest,30,146,4.866666666666666
109506,Stones for Ibarra (Penguin Contemporary American Fiction Series),30,146,4.866666666666666
55431,Homo Faber,28,136,4.857142857142857
62169,Jane Eyre (Puffin Classics),27,131,4.851851851851852
64761,Kindred (Black Women Writers Series),44,213,4.840909090909091
128176,The Little Prince (Wordsworth Collection),37,179,4.837837837837838
69068,Les Fourmis,35,169,4.828571428571428
102123,Second Foundation (Foundation Novels (Paperback)),29,140,4.827586206896552
128877,The Magician's Nephew (rack) (Narnia),67,323,4.82089552238806
157730,iI Paradiso Degli Orchi,27,130,4.814814814814815
120138,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),91,438,4.813186813186813
140990,The Worst-Case Scenario Survival Handbook,64,308,4.8125
151693,Weirdos From Another Planet!,48,231,4.8125
78560,Mine to Take (Futuristic Romance),21,101,4.809523809523809
123960,The Glass Menagerie,21,101,4.809523809523809
47126,GREAT GATSBY (REISSUE),42,202,4.809523809523809
126005,The Iliad (Penguin Classics),21,101,4.809523809523809
80106,More Letters from a Nut,26,125,4.8076923076923075
36103,Dragonsinger,26,125,4.8076923076923075
122563,The Far Side Gallery 4,31,149,4.806451612903226
70122,"Life, the Universe and Everything",30,144,4.8
80466,"Mostly Harmless (Hitchhiker's Trilogy, No 5)",28,134,4.785714285714286
22191,Charlotte's Web (Trophy Newbery),129,617,4.782945736434108
134290,The Right Stuff,23,110,4.782608695652174
52454,Hatchet,63,301,4.777777777777778
133300,The Professor and the Madman,58,277,4.775862068965517
107684,Speak,80,382,4.775
2717,A Heart of Stone,31,148,4.774193548387097
18410,Bridget Jones' Diary (Film Tie-in),22,105,4.7727272727272725
130692,The Neverending Story,79,377,4.772151898734177
34773,Do Androids Dream of Electric Sheep?,39,186,4.769230769230769
104204,Shiloh (Yearling Newbery),38,181,4.7631578947368425
52065,Happy Trails,21,100,4.761904761904762
16394,Blade Runner,21,100,4.761904761904762
131625,The Other Boleyn Girl,159,757,4.761006289308176
10193,Anthem,62,295,4.758064516129032
145529,Trainspotting,33,157,4.757575757575758
93629,"Pride and Prejudice (The Penguin English Library, El 72)",61,290,4.754098360655738
102548,"Seduced By Moonlight (Hamilton, Laurell K)",24,114,4.75
11612,Attack Of The Deranged Mutant Killer Snow Goons,36,171,4.75
63202,Joy Luck Club,24,114,4.75
58838,Illuminati.,59,280,4.745762711864407
155529,"Wolves of the Calla (The Dark Tower, Book 5)",43,204,4.744186046511628
43919,Fish! A Remarkable Way to Boost Morale and Improve Results,35,166,4.742857142857143
129474,The Meaning Of Life,50,237,4.74
61396,Isle of Woman (Geodyssey),23,109,4.739130434782608
57610,I Do (But I Don't),23,109,4.739130434782608
5248,A Wind in the Door,63,298,4.73015873015873
99228,"Ruby Slippers, Golden Tears",22,104,4.7272727272727275
116546,The Black Ice,22,104,4.7272727272727275
128875,The Magician's Nephew (Narnia),29,137,4.724137931034483
42810,Felidae. Roman.,36,170,4.722222222222222
13086,Balzac and the Little Chinese Seamstress,75,354,4.72
63862,K-Pax,32,151,4.71875
72345,Los Renglones Torcidos De Dios,21,99,4.714285714285714
38696,El ocho,21,99,4.714285714285714
51979,Happiness,21,99,4.714285714285714
31190,Debout les morts,21,99,4.714285714285714
36454,Dress Your Family in Corduroy and Denim,45,212,4.711111111111111
77384,Memoirs of a Geisha,93,438,4.709677419354839
77509,Men at Arms,24,113,4.708333333333333
15759,Billy and the Boingers Bootleg (Bloom County Book),24,113,4.708333333333333
144320,To Kill a Mockingbird,510,2397,4.7
109333,Still Pumped From Using The Mouse,30,141,4.7
24396,Cold Comfort Farm,39,183,4.6923076923076925
128013,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",78,366,4.6923076923076925
128666,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),73,342,4.684931506849315
112461,Talk Before Sleep,47,220,4.680851063829787
56267,How Reading Changed My Life (Library of Contemporary Thought),25,117,4.68
27801,Cut,25,117,4.68
35034,Dogbert's Top Secret Management Handbook,25,117,4.68
22714,Children of God (Ballantine Readers Circle),25,117,4.68
139568,The Voyage of the Dawn Treader (rack) (Narnia),28,131,4.678571428571429
132935,The Power of Myth,21,98,4.666666666666667
43059,Fierce Invalids Home from Hot Climates,60,280,4.666666666666667
125706,The House at Pooh Corner,24,112,4.666666666666667
7910,All-American Girl,42,196,4.666666666666667
11938,Ava's Man,35,163,4.6571428571428575
130128,The Mote in God's Eye,29,135,4.655172413793103
23504,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),81,377,4.654320987654321
87134,On the Banks of Plum Creek,52,242,4.653846153846154
52731,He Died with a Felafel in His Hand,23,107,4.6521739130434785
116392,The Big Sleep,40,186,4.65
46526,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,57,265,4.649122807017544
152406,What to Expect the Toddler Years,28,130,4.642857142857143
120230,The Da Vinci Code,898,4169,4.642538975501114
153127,Where the Wild Things Are,22,102,4.636363636363637
36756,Dune (Dune Chronicles (Berkley Paperback)),33,153,4.636363636363637
61430,It Came From The Far Side,30,139,4.633333333333334
21347,Cat's Cradle,98,454,4.63265306122449
127638,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),87,403,4.632183908045977
89736,Parable of the Sower,38,176,4.631578947368421
128311,The Lone Ranger and Tonto Fistfight in Heaven,46,213,4.630434782608695
71042,Little Women (Signet Classic),24,111,4.625
131497,The Onion Girl (Newford),21,97,4.619047619047619
140487,The Wish List,21,97,4.619047619047619
136050,The Silence of the Lambs,42,194,4.619047619047619
49228,Going After Cacciato,21,97,4.619047619047619
152267,What Should I Do with My Life?,34,157,4.617647058823529
81670,Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),34,157,4.617647058823529
109971,Stranger in a Strange Land (Remembering Tomorrow),130,600,4.615384615384615
11572,Atlantis Found (Dirk Pitt Adventures (Hardcover)),39,180,4.615384615384615
86797,"Old Possum's Book of Practical Cats, Illustrated Edition",41,189,4.609756097560975
36758,Dune (Remembering Tomorrow),146,673,4.609589041095891
18721,Brothers Karamazov,23,106,4.608695652173913
43115,Fight Club,102,470,4.607843137254902
29006,Dark Guardian,28,129,4.607142857142857
37155,Earth,33,152,4.606060606060606
114218,The 7 Habits Of Highly Effective Teens,33,152,4.606060606060606
106951,Something Wicked This Way Comes,50,230,4.6
8734,Among the Hidden,30,138,4.6
95787,Ramona and Her Mother (Ramona Quimby (Paperback)),40,184,4.6
78308,Midwives,30,138,4.6
29584,Das Tagebuch Der Bridget Jones,25,115,4.6
103197,Seta,25,115,4.6
105369,Sister of My Heart,74,340,4.594594594594595
15766,Bimbos of the Death Sun,22,101,4.590909090909091
82876,Mythology,39,179,4.589743589743589
138149,The Time Traveler's Wife,51,234,4.588235294117647
62170,Jane Eyre (Signet Classics (Paperback)),29,133,4.586206896551724
77423,Memorias de una geisha,29,133,4.586206896551724
145553,Trans-Sister Radio (Vintage Contemporaries (Paperback)),36,165,4.583333333333333
149241,Veronika Decides to Die,59,270,4.576271186440678
137024,The Story of B,33,151,4.575757575757576
91062,Persuader,21,96,4.571428571428571
114316,The Acid House,21,96,4.571428571428571
9190,An Underachiever's Diary,21,96,4.571428571428571
136869,The Stars My Destination,23,105,4.565217391304348
98948,Rose Daughter,23,105,4.565217391304348
52239,Haroun and the Sea of Stories,39,178,4.564102564102564
127452,The Last Juror,117,534,4.564102564102564
104588,Siddhartha,172,785,4.563953488372093
34513,Disgrace,55,251,4.5636363636363635
156341,Writing Down the Bones,50,228,4.56
112697,Tao Te Ching,27,123,4.555555555555555
127351,The Last Continent (Discworld Novels (Paperback)),29,132,4.551724137931035
122987,The Five People You Meet in Heaven,430,1957,4.551162790697674
5401,A Wrinkle In Time,158,719,4.550632911392405
35901,Dracula (Signet Classics (Paperback)),53,241,4.547169811320755
118208,The Catcher in the Rye,449,2041,4.5456570155902005
125280,The Hero and the Crown,55,250,4.545454545454546
95315,RESTAURNT END UNIV (Hitchhiker's Trilogy (Paperback)),24,109,4.541666666666667
154047,Wiener Dog Art,41,186,4.536585365853658
104791,Silent Spring,28,127,4.535714285714286
139289,The Velveteen Rabbit,36,163,4.527777777777778
124345,The Grapes of Wrath (20th Century Classics),42,190,4.523809523809524
83129,Naked Pictures of Famous People,25,113,4.52
86483,Of Mice and Men,50,226,4.52
60680,Into the Forest,52,235,4.519230769230769
84743,Nimisha's Ship,27,122,4.518518518518518
116919,The Book of Bunny Suicides,27,122,4.518518518518518
22006,Changing Places,29,131,4.517241379310345
36111,Dragonsong (Harper Hall Trilogy),31,140,4.516129032258065
123448,The Funny Thing Is...,33,149,4.515151515151516
36588,Drums of Autumn,101,456,4.514851485148514
140357,The Wind-Up Bird Chronicle,53,239,4.509433962264151
133266,The Probable Future,38,171,4.5
92566,Poisonwood Bible Edition Uk,26,117,4.5
93625,Pride and Prejudice (Penguin Popular Classics),54,243,4.5
32120,Der Vorleser,56,252,4.5
140739,The Wonderful Story of Henry Sugar and Six More,30,135,4.5
69667,Letters to a Young Poet,24,108,4.5
134174,"The Return of the King (The Lord of the Rings, Part 3)",211,949,4.497630331753554
49518,Gone with the Wind,88,395,4.488636363636363
11581,Atlas Shrugged,138,619,4.4855072463768115
39621,Ender's Game,25,112,4.48
19197,"Burnt Offerings (Anita Blake, Vampire Hunter)",46,206,4.478260869565218
130250,The Murder of Roger Ackroyd (Hercule Poirot Mysteries (Paperback)),23,103,4.478260869565218
36041,Dragonfly in Amber,151,676,4.47682119205298
75573,Mansfield Park (Penguin Popular Classics),21,94,4.476190476190476
152404,What to Expect the First Year,97,434,4.474226804123711
105000,Simisola,43,192,4.465116279069767
131018,The Night Listener,28,125,4.464285714285714
87105,On a Pale Horse,28,125,4.464285714285714
109642,"Storm Front (The Dresden Files, Book 1)",39,174,4.461538461538462
131727,The Outsiders (Now in Speak!),89,397,4.46067415730337
124449,The Great Gatsby,205,914,4.458536585365854
118882,The Coldest Winter Ever,24,107,4.458333333333333
37449,Echo Burning (Jack Reacher Novels (Paperback)),24,107,4.458333333333333
86310,Obsidian Butterfly (Anita Blake Vampire Hunter (Paperback)),22,98,4.454545454545454
62460,Jennifer Government,33,147,4.454545454545454
122409,The Fairy Godmother,22,98,4.454545454545454
118086,The Cases That Haunt Us,33,147,4.454545454545454
521,1984,284,1265,4.454225352112676
17828,Boy Meets Girl,42,187,4.4523809523809526
83862,Neverwhere,265,1179,4.449056603773585
37272,East of Eden (Oprah's Book Club),134,596,4.447761194029851
35725,Downsize This! Random Threats from an Unarmed American,38,169,4.447368421052632
107969,Spindle's End,38,169,4.447368421052632
135413,The Secret Life of Bees,774,3442,4.447028423772609
22159,Charlie and the Chocolate Factory (Puffin Novels),45,200,4.444444444444445
96121,Reader,50,222,4.44
96727,Redeeming Love,32,142,4.4375
135918,The Shining,135,599,4.437037037037037
11328,Asta's Book,23,102,4.434782608695652
97673,Rhaeva,23,102,4.434782608695652
41078,Exposure,23,102,4.434782608695652
91427,"Phule's Company (Phule's Company, No 1)",30,133,4.433333333333334
42246,Far Side Gallery,30,133,4.433333333333334
67639,Last Chapter and Worse,30,133,4.433333333333334
38343,El Libro de Las Ilusiones,21,93,4.428571428571429
123590,The Gashlycrumb Tinies,21,93,4.428571428571429
136208,The Sirens of Titan,28,124,4.428571428571429
77522,Men in Kilts,21,93,4.428571428571429
155396,"Wizard's First Rule (Sword of Truth, Book 1)",82,363,4.426829268292683
16388,Blackwood Farm (The Vampire Chronicles),33,146,4.424242424242424
128007,"The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)",36,159,4.416666666666667
103004,Sense and Sensibility (Wordsworth Classics),24,106,4.416666666666667
138959,The Unexpected Mrs. Pollifax,24,106,4.416666666666667
132424,The Phantom Tollbooth,125,552,4.416
1050,84 Charing Cross Road,125,552,4.416
22190,Charlotte's Web,89,393,4.415730337078652
3133,A Little Princess,65,287,4.415384615384616
119887,The Covenant (Abram's Daughters),34,150,4.411764705882353
34373,Dirty Work,39,172,4.410256410256411
153702,Who's Looking Out for You?,22,97,4.409090909090909
112454,Talisman,22,97,4.409090909090909
64687,Killing Mr. Griffin (Laurel Leaf Books),25,110,4.4
120821,The Devil's Arithmetic,38,167,4.394736842105263
146578,Tuck Everlasting,79,347,4.3924050632911396
82191,My Ishmael,23,101,4.391304347826087
50987,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),129,566,4.387596899224806
42419,Fat Girls and Lawn Chairs,31,136,4.387096774193548
101432,Schlafes Bruder,39,171,4.384615384615385
136217,The Sisterhood of the Traveling Pants,76,333,4.381578947368421
95122,Quidditch Through the Ages,21,92,4.380952380952381
51667,Hamlet (Bantam Classics),21,92,4.380952380952381
58168,IF I PAY THEE NOT IN GOLD,21,92,4.380952380952381
100376,Salem's Lot,58,254,4.379310344827586
111896,TIME AND AGAIN,77,337,4.376623376623376
73451,Lucifers Hammer,24,105,4.375
4036,A Raisin in the Sun,24,105,4.375
31384,Deerskin,35,153,4.371428571428571
84222,Niagara Falls All Over Again,27,118,4.37037037037037
42247,Far Side Gallery 2,30,131,4.366666666666666
55771,Hostage,41,179,4.365853658536586
139186,The Valley of Horses,132,576,4.363636363636363
26664,Cows Of Our Planet (Far Side Series),33,144,4.363636363636363
53211,Heat and Dust,22,96,4.363636363636363
